,volatile acidity,total sulfur dioxide,density,pH,alcohol,quality_category
2505,0.27,72.0,0.9944,3.08,10.3,baja
2506,0.25,124.0,0.9908,3.28,12.2,alta
2507,0.23,159.0,0.99795,3.32,9.8,baja
2508,0.24,217.0,0.9985,3.08,8.8,baja
2509,0.33,144.0,0.99425,3.15,9.9,baja
2510,0.33,143.0,0.99425,3.15,9.9,baja
2511,0.34,145.0,0.9943,3.15,9.9,baja
2512,0.29,30.0,0.9924,3.36,9.2,baja
2513,0.32,88.0,0.9946,3.24,9.5,baja
2514,0.29,30.0,0.9924,3.36,9.2,baja
2515,0.13,137.0,0.995,3.36,10.3,media
2516,0.3,124.0,0.9919,2.93,11.0,media
2517,0.24,107.0,0.99,3.06,11.9,media
2518,0.18,107.0,0.9923,2.94,10.2,media
2519,0.11,144.0,0.9956,3.55,9.4,media
2520,0.32,153.0,0.9978,3.13,8.9,media
2521,0.32,153.0,0.9978,3.13,8.9,media
2522,0.26,215.0,0.9967,3.17,10.0,media
2523,0.28,152.0,0.9934,3.45,10.7,alta
2524,0.27,100.0,0.9936,3.28,9.8,baja
2525,0.595,80.0,0.9932,3.36,9.3,baja
2526,0.25,173.0,0.9934,3.02,9.5,media
2527,0.25,179.0,0.998,3.58,10.0,baja
2528,0.36,115.0,0.9978,3.15,9.0,baja
2529,0.17,84.0,0.9929,3.14,11.9,media
2530,0.26,230.0,0.9974,3.08,8.9,baja
2531,0.26,225.0,0.99685,3.18,10.0,media
2532,0.29,205.0,0.99495,3.26,9.6,baja
2533,0.28,233.0,0.99745,3.08,8.9,baja
2534,0.27,230.0,0.99505,3.12,8.9,baja
2535,0.43,67.0,0.992,3.08,11.4,baja
2536,0.36,115.0,0.9978,3.15,9.0,baja
2537,0.35,244.0,0.9956,3.36,10.0,media
2538,0.24,194.0,0.9982,3.06,9.6,media
2539,0.34,197.0,0.99485,3.14,9.7,baja
2540,0.27,212.0,0.9971,3.25,9.5,media
2541,0.415,88.0,0.99265,3.54,10.0,media
2542,0.48,135.0,0.9904,3.14,12.2,media
2543,0.18,131.0,0.9965,3.28,8.7,media
2544,0.15,105.0,0.9946,3.52,10.2,media
2545,0.345,205.0,0.99965,2.96,9.6,baja
2546,0.16,147.0,0.9935,2.96,10.0,baja
2547,0.705,57.0,0.996,3.36,9.5,baja
2548,0.25,84.0,0.9942,3.18,11.5,baja
2549,0.345,134.0,0.9936,3.08,9.5,baja
2550,0.22,143.0,0.9965,3.08,9.8,media
2551,0.17,99.0,0.9928,3.23,10.1,media
2552,0.23,117.0,0.9928,2.99,10.0,baja
2553,0.22,143.0,0.9965,3.08,9.8,media
2554,0.345,134.0,0.9936,3.08,9.5,baja
2555,0.32,133.0,0.9938,3.07,9.5,baja
2556,0.23,79.0,0.9926,3.39,10.2,media
2557,0.2,78.0,0.9926,3.39,10.2,media
2558,0.24,174.0,0.9983,3.03,9.0,media
2559,0.24,174.0,0.9983,3.03,9.0,media
2560,0.42,101.0,0.992,3.13,12.3,media
2561,0.24,174.0,0.9983,3.03,9.0,media
2562,0.19,112.0,0.9923,3.37,11.6,media
2563,0.26,152.0,0.9972,3.28,9.5,media
2564,0.23,101.0,0.9928,3.15,11.5,baja
2565,0.34,188.0,0.9928,3.13,9.6,media
2566,0.22,153.0,0.9994,3.24,9.0,media
2567,0.08,93.0,0.991,3.34,12.0,media
2568,0.42,68.0,0.9906,3.33,11.4,media
2569,0.42,102.0,0.9894,3.38,12.3,media
2570,0.27,110.0,0.9898,3.32,12.6,media
2571,0.22,153.0,0.9994,3.24,9.0,media
2572,0.08,93.0,0.991,3.34,12.0,media
2573,0.13,114.0,0.9925,3.32,11.7,media
2574,0.3,111.0,0.9956,3.12,9.2,baja
2575,0.13,131.0,0.9946,3.51,10.3,media
2576,0.14,189.0,0.9966,3.25,8.6,baja
2577,0.28,155.0,0.9951,3.39,10.7,media
2578,0.2,54.0,0.9927,3.12,9.8,baja
2579,0.19,55.0,0.9927,3.12,9.8,media
2580,0.28,155.0,0.9951,3.39,10.7,media
2581,0.39,72.0,0.9894,3.5,12.5,media
2582,0.36,77.0,0.9907,3.41,11.9,media
2583,0.19,149.0,0.9925,3.44,10.8,baja
2584,0.41,122.0,0.9928,3.42,10.5,media
2585,0.28,161.0,0.9941,3.12,10.3,media
2586,0.3,163.0,0.9941,3.12,10.3,media
2587,0.19,149.0,0.9925,3.44,10.8,baja
2588,0.28,117.0,0.9935,3.06,12.0,media
2589,0.16,143.0,0.9932,2.95,10.2,media
2590,0.26,69.0,0.9944,3.14,10.2,baja
2591,0.25,217.0,0.9972,3.19,9.9,baja
2592,0.24,62.0,0.994,3.38,10.1,baja
2593,0.18,187.0,0.9956,3.25,9.5,media
2594,0.27,154.0,0.9927,3.05,10.5,media
2595,0.26,29.0,0.9924,3.29,10.4,baja
2596,0.24,152.0,0.9966,3.31,9.5,media
2597,0.24,184.0,0.9997,3.05,9.2,media
2598,0.21,165.0,0.9936,3.05,10.1,media
2599,0.19,84.0,0.9936,3.15,9.8,media
2600,0.28,216.0,0.9952,3.09,9.4,baja
2601,0.28,221.0,0.9952,3.09,9.4,media
2602,0.24,136.0,0.9928,3.31,10.4,media
2603,0.36,153.0,0.9911,3.34,11.3,media
2604,0.18,91.0,0.993,3.42,10.8,media
2605,0.36,153.0,0.9911,3.34,11.3,media
2606,0.52,79.0,0.9932,3.32,9.3,baja
2607,0.22,199.0,0.993,3.37,10.3,media
2608,0.15,146.0,0.993,3.08,10.5,media
2609,0.16,109.0,0.9932,3.11,10.3,media
2610,0.16,173.0,0.9932,3.24,11.2,media
2611,0.16,98.0,0.9943,3.15,10.3,media
2612,0.25,210.0,0.9968,3.19,9.5,baja
2613,0.16,162.0,0.9994,3.66,8.9,baja
2614,0.39,113.0,0.9926,3.03,10.2,baja
2615,0.37,136.0,0.9968,2.98,9.2,baja
2616,0.16,109.0,0.9932,3.11,10.3,media
2617,0.18,157.0,0.9916,2.95,10.5,media
2618,0.14,189.0,0.9946,3.21,9.5,media
2619,0.2,125.0,0.9925,3.11,11.4,media
2620,0.2,125.0,0.9925,3.11,11.4,media
2621,0.19,188.0,0.9935,3.25,11.1,alta
2622,0.19,174.0,0.9962,3.13,10.5,media
2623,0.34,185.0,0.9928,3.51,12.0,media
2624,0.15,123.0,0.993,3.38,9.7,media
2625,0.14,140.0,0.993,3.32,10.2,media
2626,0.55,60.0,0.9956,3.09,9.5,baja
2627,0.24,128.0,0.9941,3.41,10.4,media
2628,0.6,245.0,0.9972,3.19,9.3,baja
2629,0.2,166.0,0.9948,3.48,10.5,media
2630,0.34,232.0,0.9955,3.35,10.0,media
2631,0.3,234.0,0.9972,3.49,10.2,media
2632,0.3,234.0,0.9972,3.49,10.2,media
2633,0.64,227.0,0.9983,2.87,9.1,baja
2634,0.17,148.0,0.9942,3.16,10.2,media
2635,0.17,75.0,0.9936,3.54,10.7,baja
2636,0.47,77.0,0.9956,3.21,9.7,baja
2637,0.15,104.0,0.9953,3.37,9.3,media
2638,0.17,102.0,0.9918,3.05,11.0,baja
2639,0.68,138.0,0.995,3.22,10.8,baja
2640,0.275,75.0,0.992,3.01,10.7,baja
2641,0.49,104.0,0.9952,3.24,10.7,baja
2642,0.33,243.0,1.001,2.95,8.8,baja
2643,0.21,94.0,0.9924,3.16,10.9,media
2644,0.15,92.0,0.9932,3.14,10.5,baja
2645,0.19,107.0,0.9937,3.29,10.0,baja
2646,0.31,61.0,0.9918,3.07,10.4,baja
2647,0.4,75.0,0.9934,3.03,9.2,baja
2648,0.37,116.0,0.991,3.31,12.6,media
2649,0.24,152.0,0.9962,3.1,9.0,baja
2650,0.21,123.0,0.9932,3.03,9.2,media
2651,0.29,86.0,0.9908,2.99,11.3,baja
2652,0.29,119.0,0.9962,3.12,10.3,baja
2653,0.31,61.0,0.9918,3.07,10.4,baja
2654,0.26,111.0,0.9941,2.96,10.0,baja
2655,0.21,111.0,0.9931,3.51,10.7,media
2656,0.51,197.0,0.9981,3.41,9.0,baja
2657,0.21,111.0,0.9931,3.51,10.7,media
2658,0.3,166.0,0.9944,3.3,8.7,baja
2659,0.26,121.0,0.992,3.09,11.6,media
2660,0.21,185.0,0.9966,3.34,9.4,baja
2661,0.26,216.0,0.9956,3.31,9.5,baja
2662,0.26,202.0,0.9956,3.3,9.5,baja
2663,0.26,159.0,0.9949,3.37,10.9,media
2664,0.22,126.0,1.0002,3.22,9.7,baja
2665,0.3,172.0,0.9942,3.08,9.1,media
2666,0.19,125.0,0.9923,3.1,11.1,media
2667,0.33,87.0,0.9917,2.96,12.6,media
2668,0.2,147.0,0.9931,3.35,11.0,media
2669,0.37,166.0,0.992,3.0,11.3,media
2670,0.22,126.0,1.0002,3.22,9.7,baja
2671,0.29,118.0,0.9953,2.96,10.9,media
2672,0.34,192.0,0.9951,2.97,10.9,baja
2673,0.55,186.0,0.9974,3.17,9.3,media
2674,0.4,124.0,0.9904,3.22,12.7,media
2675,0.28,180.0,0.9974,3.37,10.1,media
2676,0.26,132.0,0.9944,3.18,10.0,baja
2677,0.26,197.0,1.0004,3.49,9.8,baja
2678,0.34,227.0,0.9952,3.29,10.1,media
2679,0.15,118.0,0.9956,3.43,9.0,media
2680,0.27,155.0,0.995,3.28,9.4,media
2681,0.27,155.0,0.995,3.28,9.4,media
2682,0.2,190.0,0.9995,3.03,9.2,media
2683,0.23,142.0,0.9942,3.36,10.1,media
2684,0.31,160.0,0.9977,3.06,8.6,baja
2685,0.24,128.0,0.992,3.55,11.2,alta
2686,0.24,123.0,0.992,3.17,11.2,alta
2687,0.2,190.0,0.9995,3.03,9.2,media
2688,0.17,127.0,0.9934,3.19,10.6,media
2689,0.21,213.0,1.0006,3.01,9.3,media
2690,0.21,178.0,0.9982,3.05,8.9,media
2691,0.21,156.0,0.9928,3.42,10.6,media
2692,0.17,132.0,0.9945,3.1,10.6,media
2693,0.24,183.0,0.9963,3.09,8.8,baja
2694,0.24,97.0,0.9906,3.59,11.0,alta
2695,0.28,139.0,0.9956,3.32,10.2,media
2696,0.23,142.0,0.9942,3.36,10.1,media
2697,0.29,120.0,0.9962,3.31,10.1,media
2698,0.29,120.0,0.9894,3.39,14.0,media
2699,0.27,155.0,0.995,3.28,9.4,media
2700,0.17,107.0,0.9908,3.27,11.8,media
2701,0.16,148.0,0.9914,3.44,11.4,baja
2702,0.29,117.0,0.9938,3.12,10.7,baja
2703,0.31,160.0,0.9977,3.06,8.6,baja
2704,0.32,191.0,0.9922,3.51,11.5,media
2705,0.24,128.0,0.992,3.55,11.2,alta
2706,0.37,87.0,0.9903,3.3,12.6,media
2707,0.29,76.0,0.9893,3.21,12.6,media
2708,0.22,151.0,0.9952,3.04,9.3,baja
2709,0.37,87.0,0.9903,3.3,12.6,media
2710,0.18,96.0,0.9912,3.06,12.1,media
2711,0.22,177.0,0.9983,3.52,9.9,media
2712,0.18,102.0,0.9937,3.28,10.7,baja
2713,0.52,26.0,0.9932,3.26,10.0,baja
2714,0.15,96.0,0.9928,3.13,10.4,alta
2715,0.415,64.0,0.9922,3.29,10.5,baja
2716,0.45,216.0,0.9976,3.31,9.7,baja
2717,0.415,64.0,0.9922,3.29,10.5,baja
2718,0.5,138.0,0.9974,3.28,9.0,baja
2719,0.105,106.0,0.998,3.54,9.2,media
2720,0.4,117.0,0.9931,3.17,10.1,media
2721,0.25,89.0,0.9911,3.35,11.4,media
2722,0.36,124.0,0.9944,2.93,10.8,baja
2723,0.23,135.0,0.9937,2.96,10.9,baja
2724,0.55,182.0,0.9974,3.2,9.2,media
2725,0.115,166.0,0.989,3.12,12.9,media
2726,0.125,99.0,0.992,3.23,12.0,media
2727,0.1,100.0,0.9928,3.27,9.5,baja
2728,0.25,117.0,0.9918,3.06,11.8,media
2729,0.2,159.0,0.9936,3.19,9.1,media
2730,0.23,128.0,0.9944,3.2,9.7,media
2731,0.39,162.0,0.9988,3.17,9.1,baja
2732,0.22,114.0,0.994,2.99,10.0,baja
2733,0.41,127.0,0.9953,3.25,10.4,baja
2734,0.25,161.0,0.9986,3.44,9.5,media
2735,0.26,178.0,0.9914,3.4,12.3,alta
2736,0.31,170.0,0.9934,3.42,11.7,alta
2737,0.28,133.0,0.996,3.14,9.5,baja
2738,0.31,91.0,0.9937,2.99,11.5,baja
2739,0.16,57.0,0.9921,3.14,10.6,media
2740,0.34,146.0,0.998,3.17,10.2,baja
2741,0.28,133.0,0.996,3.14,9.5,baja
2742,0.24,131.0,0.9933,3.25,10.5,baja
2743,0.25,132.0,0.9933,3.26,10.5,baja
2744,0.32,223.0,0.9959,3.14,8.9,baja
2745,0.27,151.0,0.9936,3.03,10.6,baja
2746,0.34,188.0,0.9953,3.17,9.5,baja
2747,0.17,111.0,0.9938,3.2,10.8,media
2748,0.25,220.0,0.9952,3.14,9.5,baja
2749,0.32,219.0,0.9959,3.13,8.9,baja
2750,0.32,223.0,0.9959,3.14,8.9,baja
2751,0.6,79.0,0.9937,3.31,9.4,baja
2752,0.395,102.0,0.992,3.5,10.6,media
2753,0.16,171.0,0.9967,3.47,9.0,baja
2754,0.33,172.0,0.9944,3.42,10.5,baja
2755,0.3,135.0,0.9998,3.16,9.0,media
2756,0.3,135.0,0.9998,3.16,9.0,media
2757,0.26,189.5,0.9942,3.27,9.4,media
2758,0.3,135.0,0.9998,3.16,9.0,media
2759,0.14,153.0,0.9945,3.29,9.6,media
2760,0.3,135.0,0.9998,3.16,9.0,media
2761,0.25,151.0,0.9946,3.15,10.2,media
2762,0.26,189.5,0.9942,3.27,9.4,media
2763,0.23,73.0,0.9928,3.07,10.4,media
2764,0.24,129.0,0.9946,3.52,10.4,baja
2765,0.45,82.0,0.9927,3.23,9.5,baja
2766,0.23,113.0,0.9938,3.22,10.6,media
2767,0.2,74.0,0.9918,3.21,11.0,baja
2768,0.14,153.0,0.9945,3.29,9.6,media
2769,0.25,115.0,0.9966,3.38,9.9,media
2770,0.61,118.0,0.9954,3.14,9.6,baja
2771,0.21,119.0,0.9913,3.01,12.8,media
2772,0.22,101.0,0.9931,3.42,11.4,baja
2773,0.26,214.0,0.9986,3.41,10.0,media
2774,0.25,173.0,0.9965,3.0,9.1,baja
2775,0.32,198.0,0.9984,3.36,9.4,media
2776,0.25,189.0,0.9952,3.46,10.2,media
2777,0.44,167.0,0.9956,2.97,9.2,baja
2778,0.2,109.0,0.9949,3.23,9.4,baja
2779,0.61,118.0,0.9954,3.14,9.6,baja
2780,0.42,125.0,0.996,3.12,10.1,media
2781,0.22,101.0,0.9931,3.42,11.4,baja
2782,0.26,134.0,0.992,3.21,10.6,media
2783,0.46,138.0,0.9912,3.18,12.8,media
2784,0.41,225.0,0.9978,3.12,8.9,baja
2785,0.32,184.0,0.9938,3.09,9.3,baja
2786,0.21,104.0,0.9914,3.25,11.1,alta
2787,0.21,143.0,0.9932,3.13,9.9,media
2788,0.26,55.0,0.9944,3.1,9.6,baja
2789,0.21,119.0,0.9913,3.01,12.8,media
2790,0.25,135.0,0.9948,3.16,10.7,media
2791,0.26,107.0,0.998,2.96,9.2,media
2792,0.22,129.5,0.9998,3.36,9.1,media
2793,0.37,216.0,0.9964,3.33,9.6,media
2794,0.22,141.0,0.9992,3.03,9.2,media
2795,0.25,135.0,0.9948,3.16,10.7,media
2796,0.22,129.5,0.9998,3.36,9.1,media
2797,0.26,107.0,0.998,2.96,9.2,media
2798,0.25,93.0,0.9939,3.0,10.7,media
2799,0.18,93.0,0.992,3.3,10.8,media
2800,0.17,75.0,0.9922,3.3,10.8,media
2801,0.3,192.0,0.9955,3.1,9.0,baja
2802,0.33,97.0,0.9917,3.48,10.7,media
2803,0.33,97.0,0.9917,3.48,10.7,media
2804,0.33,200.0,0.9954,3.19,9.4,baja
2805,0.26,171.0,0.9986,2.94,8.8,media
2806,0.3,192.0,0.9955,3.1,9.0,baja
2807,0.21,134.0,0.9917,3.42,11.5,media
2808,0.23,125.0,0.9907,3.23,12.5,media
2809,0.28,59.0,0.9922,2.96,10.5,media
2810,0.27,188.0,0.9958,3.29,9.7,baja
2811,0.32,155.0,0.993,3.23,11.3,media
2812,0.33,97.0,0.9917,3.48,10.7,media
2813,0.24,59.0,0.9926,2.74,10.8,media
2814,0.28,169.0,0.9959,3.17,10.6,baja
2815,0.37,93.0,0.9906,3.04,11.7,alta
2816,0.61,220.0,0.9993,2.94,9.2,baja
2817,0.26,126.0,0.993,3.02,11.1,alta
2818,0.37,93.0,0.9906,3.04,11.7,alta
2819,0.23,217.5,0.992,3.33,11.0,media
2820,0.4,127.0,0.992,3.51,12.5,media
2821,0.28,115.0,0.994,3.16,10.0,media
2822,0.28,169.0,0.9959,3.17,10.6,baja
2823,0.23,102.0,0.9908,3.26,12.3,media
2824,0.32,87.0,0.9902,3.14,12.7,media
2825,0.23,102.0,0.9908,3.26,12.3,media
2826,0.18,110.0,0.9943,3.1,10.5,baja
2827,0.26,109.0,0.9921,3.23,12.5,media
2828,0.33,96.0,0.9911,3.2,12.4,baja
2829,0.29,238.0,0.9986,3.06,8.7,media
2830,0.41,114.0,0.992,3.17,12.4,media
2831,0.44,93.0,0.992,3.16,12.6,media
2832,0.39,131.0,0.9943,3.38,11.0,media
2833,0.26,155.0,0.9937,3.42,10.1,media
2834,0.32,195.0,0.993,3.03,10.5,baja
2835,0.32,87.0,0.9902,3.14,12.7,media
2836,0.24,116.0,0.9928,3.17,10.9,baja
2837,0.44,128.0,0.9896,3.07,13.5,media
2838,0.25,164.0,0.998,3.19,9.7,baja
2839,0.14,178.0,0.9954,3.45,9.2,media
2840,0.18,187.0,0.9938,3.4,10.6,media
2841,0.43,141.0,0.9918,2.98,13.3,media
2842,0.44,128.0,0.9896,3.07,13.5,media
2843,0.26,131.0,0.9944,3.29,10.1,baja
2844,0.66,233.0,0.9999,2.92,9.4,baja
2845,0.2,167.0,0.9953,3.18,10.6,media
2846,0.21,80.0,0.992,3.25,11.3,media
2847,0.18,73.0,0.9925,3.32,10.8,media
2848,0.57,195.0,0.9981,3.15,10.4,baja
2849,0.26,160.0,0.9952,3.82,10.5,media
2850,0.245,150.0,0.9927,3.13,9.3,baja
2851,0.245,152.0,0.9927,3.12,9.3,media
2852,0.25,165.0,0.9911,3.29,12.2,media
2853,0.16,150.0,0.9936,3.08,9.2,baja
2854,0.22,104.0,0.9959,3.81,10.3,media
2855,0.18,157.0,0.9946,3.33,9.4,media
2856,0.17,223.0,0.9948,3.28,10.2,media
2857,0.29,212.0,0.9955,3.08,9.0,media
2858,0.21,245.0,0.9951,3.06,9.3,media
2859,0.23,236.0,0.9952,3.06,9.2,media
2860,0.19,156.0,0.9946,3.32,9.4,media
2861,0.18,157.0,0.9946,3.33,9.4,media
2862,0.29,223.0,0.9944,2.92,9.5,media
2863,0.14,73.0,0.9938,3.46,9.9,baja
2864,0.31,174.0,0.9963,3.46,11.1,media
2865,0.28,116.0,0.991,2.99,12.3,alta
2866,0.22,163.0,1.0003,3.21,8.6,media
2867,0.31,145.0,0.9966,3.04,9.4,baja
2868,0.35,190.0,0.9993,3.07,9.4,media
2869,0.22,163.0,1.0003,3.21,8.6,media
2870,0.5,126.0,0.9938,3.21,10.9,baja
2871,0.39,162.0,0.9965,3.2,9.4,baja
2872,0.5,126.0,0.9938,3.21,10.9,baja
2873,0.35,190.0,0.9993,3.07,9.4,media
2874,0.22,132.0,0.9938,3.22,9.2,media
2875,0.22,163.0,1.0003,3.21,8.6,media
2876,0.31,145.0,0.9966,3.04,9.4,baja
2877,0.24,133.0,0.9942,3.33,10.8,media
2878,0.27,153.0,0.9928,3.29,10.5,media
2879,0.16,140.0,0.991,3.02,12.5,media
2880,0.27,168.0,0.9911,2.99,12.1,media
2881,0.31,147.0,0.9977,3.02,8.7,baja
2882,0.45,151.0,0.9927,3.07,12.7,alta
2883,0.27,168.0,0.9911,2.99,12.1,media
2884,0.16,140.0,0.991,3.02,12.5,media
2885,0.16,147.0,0.9912,3.06,11.4,media
2886,0.21,110.0,0.9907,3.02,12.9,media
2887,0.32,109.0,0.9902,3.15,12.8,media
2888,0.16,78.0,0.992,3.38,11.2,media
2889,0.16,98.0,0.994,3.14,9.7,media
2890,0.23,191.0,0.9966,3.04,9.7,media
2891,0.17,79.0,0.993,3.5,10.3,media
2892,0.39,102.0,0.993,3.0,11.6,baja
2893,0.41,102.0,0.993,3.0,11.6,baja
2894,0.23,191.0,0.9966,3.04,9.7,media
2895,0.38,131.0,0.9942,3.32,10.9,media
2896,0.42,122.0,0.9925,3.19,12.6,media
2897,0.34,163.0,0.9925,3.3,12.4,media
2898,0.23,166.0,0.9928,2.96,11.5,baja
2899,0.245,159.0,0.995,2.93,10.2,media
2900,0.2,176.0,0.9939,3.22,11.4,baja
2901,0.19,212.0,0.9958,3.3,9.6,media
2902,0.2,163.0,0.9952,3.05,10.3,media
2903,0.59,228.0,1.0,2.95,9.3,baja
2904,0.14,114.0,0.9948,3.33,10.7,media
2905,0.24,105.0,0.99,3.13,12.8,alta
2906,0.14,142.0,0.9958,2.98,9.5,baja
2907,0.15,130.0,0.9948,3.02,10.4,media
2908,0.17,94.0,0.9949,3.02,10.3,media
2909,0.365,142.0,0.997,3.46,9.9,media
2910,0.23,116.0,0.9927,3.23,10.7,media
2911,0.25,160.0,0.9938,2.94,10.5,baja
2912,0.32,186.0,0.9949,3.08,9.6,baja
2913,0.31,169.0,0.9953,3.15,9.3,media
2914,0.2,162.0,0.997,3.1,10.0,media
2915,0.255,190.0,0.9932,3.04,11.2,media
2916,0.15,177.0,0.9927,3.32,10.8,baja
2917,0.15,96.0,0.9932,3.54,10.3,media
2918,0.25,234.0,0.9955,3.03,8.8,baja
2919,0.19,114.0,0.9914,3.04,12.8,media
2920,0.43,114.0,0.991,3.23,13.2,media
2921,0.31,152.0,0.992,3.54,10.1,media
2922,0.2,161.0,0.9924,3.44,11.0,baja
2923,0.16,182.0,0.9927,3.25,10.8,media
2924,0.32,114.0,0.9911,3.2,12.8,media
2925,0.22,168.0,0.9958,3.12,9.2,media
2926,0.26,167.0,0.9928,3.12,10.5,media
2927,0.37,81.0,0.9902,3.37,11.7,media
2928,0.19,104.0,0.994,2.85,9.5,baja
2929,0.21,108.0,0.994,2.85,9.5,baja
2930,0.15,110.0,0.9972,3.4,8.8,media
2931,0.16,210.0,1.0004,3.15,9.3,media
2932,0.21,180.0,0.991,3.09,12.6,alta
2933,0.24,107.0,0.9918,3.21,12.4,media
2934,0.21,189.0,0.995,3.65,10.1,media
2935,0.29,161.0,0.9941,3.26,11.2,alta
2936,0.18,251.0,0.9956,3.29,10.0,baja
2937,0.18,251.0,0.9956,3.29,10.0,baja
2938,0.58,116.0,0.9959,2.99,10.8,media
2939,0.16,121.0,0.9922,3.27,10.0,media
2940,0.54,151.0,0.9931,3.04,10.4,baja
2941,0.58,116.0,0.9959,2.99,10.8,media
2942,0.25,181.0,0.9984,3.51,9.8,media
2943,0.23,165.0,0.9908,3.26,12.2,alta
2944,0.39,113.0,0.991,3.39,12.7,alta
2945,0.46,163.0,0.9928,3.21,12.2,media
2946,0.35,162.0,0.9936,3.15,11.9,media
2947,0.29,161.0,0.9941,3.26,11.2,alta
2948,0.35,61.0,0.9924,2.96,10.4,baja
2949,0.57,122.0,0.9917,3.29,12.8,media
2950,0.37,130.0,0.9906,3.28,12.7,media
2951,0.21,189.0,0.995,3.65,10.1,media
2952,0.18,251.0,0.9956,3.29,10.0,baja
2953,0.13,179.0,0.9955,3.43,9.0,baja
2954,0.19,143.0,0.9907,2.92,11.4,baja
2955,0.22,191.0,1.0,3.32,8.9,media
2956,0.29,167.0,0.9953,3.15,9.3,media
2957,0.35,103.0,0.9911,3.28,12.0,alta
2958,0.19,132.0,0.9922,3.36,10.8,media
2959,0.12,158.0,0.9951,3.52,10.5,media
2960,0.13,189.5,0.9948,3.59,10.6,media
2961,0.25,115.0,0.9906,3.19,11.3,media
2962,0.32,96.0,0.994,3.22,9.5,baja
2963,0.19,143.0,0.9907,2.92,11.4,baja
2964,0.13,140.0,0.9927,3.33,10.1,media
2965,0.14,95.0,0.9914,3.25,10.9,media
2966,0.27,115.0,0.9958,3.15,8.9,baja
2967,0.22,191.0,1.0,3.32,8.9,media
2968,0.64,185.0,0.9984,2.9,9.3,baja
2969,0.28,116.0,0.9941,3.25,10.4,media
2970,0.26,162.0,0.9944,3.1,12.0,media
2971,0.22,181.0,0.998,2.87,9.5,media
2972,0.22,181.0,0.998,2.87,9.5,media
2973,0.23,121.0,0.9902,3.14,12.4,media
2974,0.3,130.0,0.9911,3.28,11.2,media
2975,0.27,134.0,0.9929,3.15,11.4,media
2976,0.28,136.0,0.993,3.16,11.4,media
2977,0.28,132.0,0.9918,3.35,11.1,media
2978,0.46,126.0,0.992,3.1,10.4,media
2979,0.38,152.0,0.9932,3.38,12.0,media
2980,0.43,98.0,0.992,3.54,12.3,media
2981,0.56,92.0,0.994,3.12,9.1,media
2982,0.36,102.0,0.9923,3.24,10.5,media
2983,0.23,133.0,0.993,3.23,11.4,media
2984,0.33,138.0,0.9956,3.77,9.5,baja
2985,0.49,116.0,0.9907,3.42,13.7,media
2986,0.42,85.0,0.99,3.28,13.4,media
2987,0.18,143.0,0.9918,3.2,11.3,media
2988,0.19,180.0,0.9926,3.06,10.0,media
2989,0.19,123.0,0.995,3.49,10.1,media
2990,0.16,81.0,0.99,3.26,12.2,media
2991,0.42,85.0,0.99,3.28,13.4,media
2992,0.135,101.0,0.9946,3.31,9.3,media
2993,0.49,116.0,0.9907,3.42,13.7,media
2994,0.19,98.0,0.9898,3.09,12.3,media
2995,0.18,143.0,0.9918,3.2,11.3,media
2996,0.25,200.0,0.9986,3.04,8.9,media
2997,0.25,200.0,0.9986,3.04,8.9,media
2998,0.2,83.0,0.9928,3.19,11.5,media
2999,0.25,200.0,0.9986,3.04,8.9,media
3000,0.67,222.0,0.9979,3.17,9.3,media
3001,0.4,122.0,0.994,3.3,11.1,alta
3002,0.26,128.0,0.9937,3.34,10.9,alta
3003,0.31,73.0,0.9938,2.9,11.6,baja
3004,0.39,117.0,0.9942,3.15,10.2,baja
3005,0.22,90.0,0.9944,3.01,10.5,alta
3006,0.19,78.0,0.993,2.91,11.4,media
3007,0.25,200.0,0.9986,3.04,8.9,media
3008,0.2,118.0,0.9932,3.14,10.6,media
3009,0.26,97.0,0.9934,3.31,11.6,media
3010,0.2,83.0,0.9928,3.19,11.5,media
3011,0.3,155.0,0.9925,3.25,12.3,alta
3012,0.29,124.0,0.9944,3.14,10.8,media
3013,0.17,130.0,0.9909,3.29,11.3,media
3014,0.415,63.0,0.9932,3.36,9.3,baja
3015,0.23,128.0,0.9934,3.36,10.0,media
3016,0.55,366.5,1.0001,3.04,11.0,baja
3017,0.35,132.0,0.992,3.13,10.2,baja
3018,0.14,103.0,0.9916,3.07,10.8,media
3019,0.28,137.0,0.998,3.1,10.1,baja
3020,0.18,90.0,0.9919,3.27,11.6,media
3021,0.165,105.0,0.9925,3.32,9.1,baja
3022,0.25,225.0,0.9977,3.06,10.0,baja
3023,0.29,124.0,0.9944,3.14,10.8,media
3024,0.22,128.0,0.991,3.25,11.4,media
3025,0.22,140.0,0.99,3.05,12.7,media
3026,0.25,156.0,0.9917,3.13,11.3,baja
3027,0.18,81.0,0.9923,3.0,10.4,media
3028,0.22,87.0,0.9928,3.3,9.6,baja
3029,0.39,119.0,0.9923,3.0,10.1,baja
3030,0.22,87.0,0.9928,3.3,9.6,baja
3031,0.36,94.0,0.9902,3.1,12.1,media
3032,0.29,99.0,0.9893,3.07,12.2,media
3033,0.25,156.0,0.9917,3.13,11.3,baja
3034,0.23,94.0,0.9982,3.17,9.6,baja
3035,0.56,243.0,1.0005,2.99,9.2,baja
3036,0.18,81.0,0.9923,3.0,10.4,media
